date,litecoin
2022-07-03,47
2022-07-10,44
2022-07-17,50
2022-07-24,45
2022-07-31,42
2022-08-07,47
2022-08-14,46
2022-08-21,42
2022-08-28,39
2022-09-04,39
2022-09-11,40
2022-09-18,41
2022-09-25,36
2022-10-02,35
2022-10-09,33
2022-10-16,32
2022-10-23,35
2022-10-30,46
2022-11-06,52
2022-11-13,45
2022-11-20,62
2022-11-27,47
2022-12-04,44
2022-12-11,39
2022-12-18,38
2022-12-25,40
2023-01-01,56
2023-01-08,66
2023-01-15,66
2023-01-22,58
2023-01-29,72
2023-02-05,59
2023-02-12,56
2023-02-19,51
2023-02-26,46
2023-03-05,50
2023-03-12,56
2023-03-19,60
2023-03-26,57
2023-04-02,50
2023-04-09,55
2023-04-16,57
2023-04-23,51
2023-04-30,46
2023-05-07,47
2023-05-14,58
2023-05-21,56
2023-05-28,58
2023-06-04,56
2023-06-11,57
2023-06-18,59
2023-06-25,74
2023-07-02,88
2023-07-09,72
2023-07-16,67
2023-07-23,67
2023-07-30,100
2023-08-06,52
2023-08-13,54
2023-08-20,52
2023-08-27,49
2023-09-03,41
2023-09-10,47
2023-09-17,44
2023-09-24,38
2023-10-01,43
2023-10-08,38
2023-10-15,40
2023-10-22,50
2023-10-29,43
2023-11-05,54
2023-11-12,52
2023-11-19,45
2023-11-26,44
2023-12-03,65
2023-12-10,52
2023-12-17,53
2023-12-24,57
2023-12-31,59
2024-01-01,35
2024-01-02,43
2024-01-03,47
2024-01-04,42
2024-01-05,38
2024-01-06,33
2024-01-07,34
2024-01-08,42
2024-01-09,37
2024-01-10,42
2024-01-11,56
2024-01-12,50
2024-01-13,39
2024-01-14,31
2024-01-15,37
2024-01-16,34
2024-01-17,35
2024-01-18,26
2024-01-19,31
2024-01-20,34
2024-01-21,32
2024-01-22,31
2024-01-23,33
2024-01-24,29
2024-01-25,25
2024-01-26,33
2024-01-27,29
2024-01-28,31
2024-01-29,30
2024-01-30,31
2024-01-31,30
2024-02-01,29
2024-02-02,30
2024-02-03,33
2024-02-04,24
2024-02-05,28
2024-02-06,30
2024-02-07,29
2024-02-08,31
2024-02-09,37
2024-02-10,37
2024-02-11,38
2024-02-12,40
2024-02-13,42
2024-02-14,43
2024-02-15,40
2024-02-16,40
2024-02-17,36
2024-02-18,35
2024-02-19,39
2024-02-20,34
2024-02-21,33
2024-02-22,35
2024-02-23,33
2024-02-24,35
2024-02-25,36
2024-02-26,34
2024-02-27,54
2024-02-28,65
2024-02-29,64
2024-03-01,64
2024-03-02,71
2024-03-03,65
2024-03-04,76
2024-03-05,77
2024-03-06,69
2024-03-07,68
2024-03-08,57
2024-03-09,59
2024-03-10,60
2024-03-11,100
2024-03-12,83
2024-03-13,71
2024-03-14,60
2024-03-15,51
2024-03-16,54
2024-03-17,49
2024-03-18,46
2024-03-19,46
2024-03-20,43
2024-03-21,42
2024-03-22,45
2024-03-23,47
2024-03-24,50
2024-03-25,52
2024-03-26,52
2024-03-27,57
2024-03-28,51
2024-03-29,83
2024-03-30,67
2024-03-31,62
2024-04-01,67
2024-04-02,71
2024-04-03,56
2024-04-04,54
2024-04-05,44
2024-04-06,51
2024-04-07,45
2024-04-08,49
2024-04-09,46
2024-04-10,41
2024-04-11,46
2024-04-12,51
2024-04-13,48
2024-04-14,56
2024-04-15,44
2024-04-16,38
2024-04-17,37
2024-04-18,39
2024-04-19,39
2024-04-20,45
2024-04-21,39
2024-04-22,38
2024-04-23,37
2024-04-24,36
2024-04-25,34
2024-04-26,38
2024-04-27,34
2024-04-28,34
2024-04-29,33
2024-04-30,29
2024-05-01,31
