date,solana
2023-12-24,100
2023-12-31,65
2024-01-01,38
2024-01-02,51
2024-01-03,45
2024-01-04,39
2024-01-05,37
2024-01-06,35
2024-01-07,32
2024-01-08,37
2024-01-09,37
2024-01-10,38
2024-01-11,39
2024-01-12,32
2024-01-13,30
2024-01-14,31
2024-01-15,30
2024-01-16,33
2024-01-17,35
2024-01-18,31
2024-01-19,31
2024-01-20,29
2024-01-21,29
2024-01-22,30
2024-01-23,30
2024-01-24,27
2024-01-25,27
2024-01-26,31
2024-01-27,30
2024-01-28,31
2024-01-29,33
2024-01-30,38
2024-01-31,39
2024-02-01,31
2024-02-02,30
2024-02-03,26
2024-02-04,26
2024-02-05,27
2024-02-06,38
2024-02-07,30
2024-02-08,31
2024-02-09,31
2024-02-10,30
2024-02-11,29
2024-02-12,30
2024-02-13,34
2024-02-14,35
2024-02-15,33
2024-02-16,30
2024-02-17,26
2024-02-18,25
2024-02-19,29
2024-02-20,25
2024-02-21,26
2024-02-22,25
2024-02-23,25
2024-02-24,23
2024-02-25,22
2024-02-26,27
2024-02-27,33
2024-02-28,39
2024-02-29,53
2024-03-01,44
2024-03-02,39
2024-03-03,38
2024-03-04,44
2024-03-05,46
2024-03-06,43
2024-03-07,54
2024-03-08,54
2024-03-09,53
2024-03-10,50
2024-03-11,54
2024-03-12,47
2024-03-13,51
2024-03-14,64
2024-03-15,75
2024-03-16,81
2024-03-17,70
2024-03-18,100
2024-03-19,73
2024-03-20,60
2024-03-21,55
2024-03-22,50
2024-03-23,49
2024-03-24,56
2024-03-25,58
2024-03-26,52
2024-03-27,48
2024-03-28,53
2024-03-29,55
2024-03-30,49
2024-03-31,45
2024-04-01,52
2024-04-02,50
2024-04-03,46
2024-04-04,46
2024-04-05,54
2024-04-06,48
2024-04-07,46
2024-04-08,48
2024-04-09,44
2024-04-10,41
2024-04-11,39
2024-04-12,44
2024-04-13,52
2024-04-14,44
2024-04-15,41
2024-04-16,39
2024-04-17,35
2024-04-18,34
2024-04-19,34
2024-04-20,34
2024-04-21,32
2024-04-22,34
2024-04-23,33
2024-04-24,32
2024-04-25,31
2024-04-26,29
2024-04-27,27
2024-04-28,28
2024-04-29,30
2024-04-30,30
