date,polygon
2022-04-24,83
2022-05-01,77
2022-05-08,81
2022-05-15,73
2022-05-22,66
2022-05-29,58
2022-06-05,61
2022-06-12,58
2022-06-19,54
2022-06-26,53
2022-07-03,51
2022-07-10,54
2022-07-17,56
2022-07-24,54
2022-07-31,51
2022-08-07,50
2022-08-14,51
2022-08-21,55
2022-08-28,52
2022-09-04,55
2022-09-11,60
2022-09-18,61
2022-09-25,54
2022-10-02,52
2022-10-09,53
2022-10-16,53
2022-10-23,52
2022-10-30,59
2022-11-06,60
2022-11-13,57
2022-11-20,49
2022-11-27,52
2022-12-04,54
2022-12-11,51
2022-12-18,46
2022-12-25,38
2023-01-01,71
2023-01-08,84
2023-01-15,83
2023-01-22,82
2023-01-29,90
2023-02-05,93
2023-02-12,95
2023-02-19,97
2023-02-26,100
2023-03-05,99
2023-03-12,95
2023-03-19,94
2023-03-26,87
2023-04-02,79
2023-04-09,81
2023-04-16,86
2023-04-23,89
2023-04-30,86
2023-05-07,87
2023-05-14,86
2023-05-21,82
2023-05-28,76
2023-06-04,75
2023-06-11,74
2023-06-18,71
2023-06-25,64
2023-07-02,66
2023-07-09,68
2023-07-16,64
2023-07-23,64
2023-07-30,61
2023-08-06,64
2023-08-13,64
2023-08-20,67
2023-08-27,67
2023-09-03,66
2023-09-10,72
2023-09-17,74
2023-09-24,74
2023-10-01,65
2023-10-08,69
2023-10-15,68
2023-10-22,66
2023-10-29,65
2023-11-05,68
2023-11-12,72
2023-11-19,64
2023-11-26,73
2023-12-03,73
2023-12-10,73
2023-12-17,62
2023-12-24,52
2023-12-31,61
2024-01-01,43
2024-01-02,51
2024-01-03,55
2024-01-04,62
2024-01-05,59
2024-01-06,50
2024-01-07,51
2024-01-08,67
2024-01-09,73
2024-01-10,69
2024-01-11,76
2024-01-12,69
2024-01-13,46
2024-01-14,48
2024-01-15,57
2024-01-16,65
2024-01-17,69
2024-01-18,67
2024-01-19,64
2024-01-20,47
2024-01-21,51
2024-01-22,69
2024-01-23,68
2024-01-24,71
2024-01-25,72
2024-01-26,65
2024-01-27,50
2024-01-28,55
2024-01-29,73
2024-01-30,78
2024-01-31,81
2024-02-01,75
2024-02-02,70
2024-02-03,46
2024-02-04,55
2024-02-05,79
2024-02-06,80
2024-02-07,77
2024-02-08,76
2024-02-09,69
2024-02-10,43
2024-02-11,54
2024-02-12,74
2024-02-13,79
2024-02-14,75
2024-02-15,81
2024-02-16,67
2024-02-17,54
2024-02-18,57
2024-02-19,76
2024-02-20,77
2024-02-21,87
2024-02-22,84
2024-02-23,79
2024-02-24,57
2024-02-25,61
2024-02-26,89
2024-02-27,96
2024-02-28,92
2024-02-29,92
2024-03-01,84
2024-03-02,62
2024-03-03,67
2024-03-04,100
2024-03-05,93
2024-03-06,95
2024-03-07,98
2024-03-08,78
2024-03-09,60
2024-03-10,63
2024-03-11,90
2024-03-12,92
2024-03-13,97
2024-03-14,90
2024-03-15,72
2024-03-16,52
2024-03-17,64
2024-03-18,86
2024-03-19,93
2024-03-20,85
2024-03-21,85
2024-03-22,71
2024-03-23,52
2024-03-24,57
2024-03-25,77
2024-03-26,80
2024-03-27,73
2024-03-28,61
2024-03-29,54
2024-03-30,45
2024-03-31,45
2024-04-01,62
2024-04-02,71
2024-04-03,68
2024-04-04,72
2024-04-05,66
2024-04-06,44
2024-04-07,45
2024-04-08,70
2024-04-09,70
2024-04-10,72
2024-04-11,73
2024-04-12,70
2024-04-13,46
2024-04-14,51
2024-04-15,74
2024-04-16,83
2024-04-17,79
2024-04-18,85
2024-04-19,70
2024-04-20,47
2024-04-21,53
2024-04-22,76
2024-04-23,82
2024-04-24,78
2024-04-25,79
2024-04-26,66
2024-04-27,46
2024-04-28,52
2024-04-29,73
2024-04-30,75
2024-05-01,78
2024-05-02,73
